adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/gLQoJ9P79g501oEEtrN8zMlCPpx.jpg,"[36, 18, 53, 10752]",205596,en,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",16.3952,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,2014-11-14,The Imitation Game,False,7.991,17593
False,/md848EEPm3dHZOqwGxxTVwH2vu5.jpg,"[18, 36]",906126,es,La sociedad de la nieve,"On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes.",6.8787,/2e853FDVSIso600RqAMunPxiZjq.jpg,2023-12-15,Society of the Snow,False,7.988,3278
False,/wmsePXV2z1b6ecXuKKrFbG0Q92P.jpg,[18],13223,en,Gran Torino,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",5.6732,/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg,2008-12-12,Gran Torino,False,7.989,11162
False,/oqaKsofz49zjNhi48sxQIq8U73X.jpg,"[28, 12, 18, 36, 10752]",11658,ko,태극기 휘날리며,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",2.5757,/vyG8qpimh3XSlxc6OmPq8LJRJl.jpg,2004-02-05,Tae Guk Gi: The Brotherhood of War,False,8.0,733
False,/7JqWWLCajnt6XWCrRlgvtsYP0u6.jpg,"[28, 18]",678512,en,Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",7.5272,/qA5kPYZA7FkVvqcEfJRoOy4kpHg.jpg,2023-07-03,Sound of Freedom,False,7.985,2620
False,/hZHeDPQGNKN9NN9GuW7qVbM2tDx.jpg,"[12, 35, 18]",962,en,The Gold Rush,A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.,5.1695,/eQRFo1qwRREYwj47Yoe1PisgOle.jpg,1925-07-13,The Gold Rush,False,7.987,1725
False,/2lBOQK06tltt8SQaswgb8d657Mv.jpg,"[10752, 36, 18, 28]",530915,en,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",11.3422,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,2019-12-25,1917,False,7.986,13049
False,/rqMEeajyzSF4PpJtdCB816Iz8Vr.jpg,"[35, 18, 10749]",449176,en,"Love, Simon","Everyone deserves a great love story, but for 17-year-old Simon Spier, it's a little more complicated. He hasn't told his family or friends that he's gay, and he doesn't know the identity of the anonymous classmate that he's fallen for online.",4.4271,/snIsqVPmlu4LPjvToHpDotxa7Eh.jpg,2018-02-16,"Love, Simon",False,7.985,6156
False,/bPwdy3zaNnMdZ22u0WCcYu0xxgt.jpg,[18],7508,hi,तारे ज़मीन पर,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",8.0451,/puHRt6Raovm5ujGCdwLWvRv4NHU.jpg,2007-12-21,Like Stars on Earth,False,7.986,1248
False,/6MKr3KgOLmzOP6MSuZERO41Lpkt.jpg,"[35, 80, 12]",337404,en,Cruella,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",15.0314,/hjS9mH8KvRiGHgjk6VUZH7OT0Ng.jpg,2021-05-26,Cruella,False,7.983,9764
